name,asset_type,is_loop,duration_sec,resolution,server_file_path,file_hash,reuse_count,source,confidence,needs_human,notes
THD_CREATION_Cheetah_WWN_ROLLIN_000250_4K_2997_40Mbps_H264.mp4,clip_with_audio,false,170.04,3840x2160,Media/Assets/THD_CREATION_Cheetah_WWN_ROLLIN_000250_4K_2997_40Mbps_H264.mp4,057a16a66d87b3578f41efd1e2983d946d6408dce192ded897aa9a423b550e5b,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
THD_CrabNebula_UPDATED_WWN_ROLLIN_000213_4k_2997_40Mbps_H264.mp4,clip_with_audio,false,133.0,3840x2160,Media/Assets/THD_CrabNebula_UPDATED_WWN_ROLLIN_000213_4k_2997_40Mbps_H264.mp4,48575172f48e50e7cbc0800c635ed1e376653f969826605e652a14b29e43a21a,2,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
060 GSN043 Promo.mp4,clip_with_audio,false,60.03,3840x2160,Media/Assets/060 GSN043 Promo.mp4,c1dfff7c96222779874df90c3d582ad2b766f1aacf33634f4263067e40223202,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
060 GSN016 Promo.mp4,clip_with_audio,false,60.03,3840x2160,Media/Assets/060 GSN016 Promo.mp4,43488d920d8367df3a778e6845ded9a84d9f72b1e442f81636738f3459b554b0,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
UnWrapped_Animated_Looping_Ruins_BG_4K_2997fps_40Mbps_H264.mp4,b_roll_loop,true,30.03,3840x2160,Media/Assets/UnWrapped_Animated_Looping_Ruins_BG_4K_2997fps_40Mbps_H264.mp4,928a2375a97ec47b1b5e1c12c6ded1d57bc4f139514c1780708864a7c1c96c6b,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
UnWrapped_Animated_Looping_Chest_BG_4K_2997fps_40Mbps_H264.mp4,b_roll_loop,true,30.03,3840x2160,Media/Assets/UnWrapped_Animated_Looping_Chest_BG_4K_2997fps_40Mbps_H264.mp4,5de19807fa179b855a758f1da5605ae3a4e07d7e77e75bac3fce11baef7676bb,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
UnWrapped_L3rd_Blank_wAlpha_Premultiplied_4K_2997_000010_Pr4444.mov,clip_with_audio,false,10.01,3840x2160,Media/Assets/UnWrapped_L3rd_Blank_wAlpha_Premultiplied_4K_2997_000010_Pr4444.mov,df336610b551d17ea039aa3fce6f9db45193ead667924b0aef66eb16bb06a194,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Unwrapped_L3rd_Donate_000015_4K_2997_Pr4444.mov,clip_with_audio,false,15.02,1920x1080,Media/Assets/Unwrapped_L3rd_Donate_000015_4K_2997_Pr4444.mov,f19e41847bc677b0014ad7e5b521e8f2b4054267240236cbab45c3a2a49c3515,4,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
Unwrapped_L3rd_FollowUs_000013_4K_2997_Pr4444.mov,clip_with_audio,false,13.01,1920x1080,Media/Assets/Unwrapped_L3rd_FollowUs_000013_4K_2997_Pr4444.mov,a6857c426ad67fecad2f394f9950a0c5440416e04400f816c8141827f1c38982,3,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
AstronomyDay_OPENER_2026_CC_17video_32audio_4k_2997_PRORES422HQ.mov,clip_with_audio,false,32.03,3840x2160,Media/Assets/AstronomyDay_OPENER_2026_CC_17video_32audio_4k_2997_PRORES422HQ.mov,e837bb9b94d190675b3cf610c60096b826a65d86a9598cdbe7d2c49b92cb1cf7,1,propres_ssd,high,false,referenced in .pro; file located+hashed on SSD; metadata only
